REG Nº,LOCAL (RELATÓRIO),ESTADO,CIDADE,LATITUDE CENTRAL,LONGITUDE CENTRAL,DATA,HORA,COR RELATÓRIO,COR TAXONOMIA,FORMA (RELATÓRIO),FORMA (TAXONOMIA),TAMANHO APARENTE,MOVIMENTO (RELATÓRIO),MOVIMENTO (TAXONOMIA),SENTIDO,VELOCIDADE,ALTITUDE,DISTÂNCIA,OBSERVADOR(ES),Gênero,NOTA,ANEXO,FONTE,Fonte Filmagem,Teria filmagem?
29,Santo Antônio do Ubintuba - Município de Vigia/PA,PA,Vigia,"0º 51' 25.92""","-48º 8' 17.88""",7 nov. 77,05:20,Azul clara (quase cinza),Azulada,Cilíndrica (ligeiramente cônica),Cilíndrica/Oval,60 cm,Trajetória reta,Trajetória Reta,Sudeste/Nordeste,Média,40m,400m,Benjamin Amadeu Amin,Masculino,Não observou detalhes,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
30,Praia Chapéu Virado - Mosqueiro/Pa,Pará,Mosqueiro,01°11′S,048°28′W,7 nov. 77,às 23:45 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,40 cm,"Trajetória reta, no sentido Norte/Sul (curva à esquerda)",Curvo,Norte/Sul,Baixa (-200 Km/h),100m (estimada),200m (estimada),Sr. UBIRATAN PINON FRIAS,Masculino,"Após percorrer boa distância em linha reta, efetuou curva para a esquerda aproando NE (Colares). Desapareceu por interposição de árvores.",...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
31,Município de COLARES/Pa,Pará,Colares,00°57′S,048°17′W,7 nov. 77,às 05:20 horas,"Amarela clara, emitindo lampejos azulados",Amarela clara,Indefinida,Indefinida,5 cm,"Trajetória reta, no sentido Sudoeste/Noroeste",Reta,Sudoeste/Noroeste,Média (500 Km/h),1.200m (estimada),1.500m (estimada),Equipe do A2/I COMAR,...,Ausência total de ruído.,Cópia de 03 (três) fotografias.,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
32,Município de COLARES/Pa,Pará,Colares,00°57′S,048°17′W,8 nov. 77,às 05:20 horas,Amarela clara,Amarela clara,Indefinida,Indefinida,1 cm,"Trajetória reta, no sentido Norte/Sul",Reta,Norte/Sul,Supersônica,6.000m (estimada),10.000m (estimada),Equipe do A2/I COMAR,...,"Obtidos ângulos Vert. 38.6 e Horiz. 183.2 (teodolito), desaparecimento devido à distância no horizonte.",...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
33,Praia Chapéu Virado - Mosqueiro/Pa,Pará,Mosqueiro,01°09′S,48°28′W,8 nov. 77,às 00:45 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,...,"Trajetória curva, sentido Sudeste/Noroeste",Curva,Sudeste/Noroeste,Baixa (-20 Km/h),100m (estimada),...,Sr Ubiratan Pinon Frias e Sra Celia Montenegro,...,Efetuou curva aprontando Colares (NE).,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
34,Município de COLARES/Pa,Pará,Colares,00°57′S,048°17′W,8 nov. 77,às 05:21 horas,Amarela avermelhada,Amarela avermelhada,Circular,Circular,10 cm,Estacionário (Rumo Sul).,Estacionário,Rumo Sul,...,500m (estimada),1.200m (estimada),Equipe do A2/I COMAR,...,O OVNI surgiu e desapareceu repentinamente.,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
35,Praia Chapéu Virado - Mosqueiro/Pa,Pará,Mosqueiro,01°09′S,48°28′W,14 nov. 77,às 23:15 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,...,"Trajetória irregular (zig-zag), sentido SW/NE",Irregular,SW/NE,Baixa (-200 Km/h),100m (estimada),8.000m (estimada),Sr Ubiratan Pinon Frias,...,"Ao atingir a Coroa Grande (Ilha), desviou acentuadamente para Colares.",Cópia de um croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
36,Praia do Farol - Mosqueiro/Pa,Pará,Mosqueiro,01°09′S,48°28′W,15 nov. 77,às 00:15 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,10 cm,"Trajetória reta, no sentido Oeste/Leste.",Reta,Oeste/Leste,Baixa (-50 Km/h),60m (estimada),3.000m (estimada),Sr Ubiratan Pinon Frias e Sra Celia Montenegro,...,"Ao chegar sobre a Ponta do Machadinho (Ilha de Colares), o OVNI mudou de altura e velocidade.",...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
37,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",18 nov. 77,00:45,Amarela avermelhada,Amarela,Indefinida,Indefinida,30 cm,"Trajetória curva, em subida, no sentido Noroeste/Sudeste",Trajetória Curva,Noroeste/Sudeste,Média (500 Km/h),300 m (estimada),800 m,Sr UBIRATAN PINON FRIAS e Srta CELIA MONTE-NEGRO,"Masculino, Feminino","Ausência de ruído, visão obstruída por árvores.",Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
38,Rodovia PA-16 - Km 4/3 (Belém-Mosqueiro/Pa),PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",20 nov. 77,23:58,Amarela avermelhada,Amarela,Indefinida,Indefinida,5 cm,"Trajetória reta, no sentido Noroeste/Sudeste",Trajetória Reta,Sudoeste/Oeste,Média (300 Km/h),500 m (estimada),2.000 m,"Ten Esp Av VASCONCELOS, 1S Q AT MT FLÁVIO e os Civis VIRGÍLIO (piloto) e ADERBAL MELLO (Eng. Civil)",Masculino,"O grupo observou o deslocamento de um corpo luminoso, a baixa altura e baixa velocidade (100 Km/h), pouco acima do nível das árvores, no sentido Norte/Sul.",Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
39,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",22 nov. 77,03:20,Amarela fosca,Avermelhada,Indefinida,Indefinida,10 cm,"Trajetória curva, Sudoeste/Oeste. Efetuou duas voltas de 720°",Trajetória Curva,Nordeste/Sudoeste,Variável. Piques de aceleração. Média (500 Km/h),400 m (estimada),600 m,"1S Q AT MT FLÁVIO e os Civis UBIRATAN PINON FRIAS, Sra P.M. FREITAS COSTA e Srta CELIA MONTENEGRO","Masculino, Feminino","O OVNI movimentava-se em zig-zag dentro de uma trajetória curva. A uma distância de 2.000 m, procedeu a duas voltas completas de 720° descendente, dirigindo-se para Sudoeste.",Cópia de 10 (dez) fotografias,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
40,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",22 nov. 77,04:25,Amarela avermelhada,Luminosidade Reflexa,Indefinida,Cilíndrica/Oval,5 cm,"Trajetória reta, no sentido Nordeste/Sudoeste",Trajetória Reta,Sudeste/Noroeste,Grande (acima de 800 Km/h),300 m (estimada),800 m,"1S Q AT MT FLÁVIO e os Civis UBIRATAN PINON FRIAS, Sra F.M. FREITAS COSTA e Srta CELIA MONTENEGRO","Masculino, Feminino",Desapareceu por interposição de árvores.,Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
41,Baía do Sol - Mosqueiro/Pa,Pará,Mosqueiro,01°09′S,48°28′W,22 nov. 77,às 05:18 horas,Amarela fosca,Amarela fosca,Indefinida (à vista),Indefinida,2 a 3 cm,Elemento A: Trajetória reta. Elemento B: Irregular (curva),Irregular,Sul/Noroeste,"Baixa (200 Km/h), 8x piques de aceleração constante",1.500m (estimada),1.500m (estimada),"1S Q AT MT Flavio e os Civis Ubiratan Pinon Frias, F.M. Freitas Costa e Sra Celia Montenegro",...,Sentido de deslocamento: Elemento A: Trajetória reta. Elemento B: Irregular (curva). Cortou a proa para a direita,Cópia de um croquis e seis fotografias,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
42,Baía do Marajó - Rota Soure/Belém (CESSNA 206),Pará,Soure/Belém,00°42′S,48°31′W,23 nov. 77,às 09:30 horas,Cinza clara (metálica-fosca),Cinza clara,Oval,Oval,4.00m,"Trajetória reta, no sentido Sudeste/Leste",Reta,Sudeste/Leste,Baixa (~100 Km/h),70m (estimada),3.000m (estimada),2S Ten EB Valdey Viedas Pantoja,...,Aeronave desviou ao avistar o OVNI que seguia a 70m da asa direita,Cópia de um croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
43,Município de Colares/Pa,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",23 nov. 77,09:30,"Vermelha, brilho metálico na parte superior",Amarela,Oval (cilíndrica),Fuso,"1,00 m de comprimento por 0,50 m de diâmetro","Trajetória reta, no sentido Sudeste/Noroeste",Trajetória Reta,Não especificado,Grande (maior que a de um avião a jato),1.200 m (estimada),1.500 m,Sr ANTONIO FERREIRA,Masculino,"O OVNI movimentava-se ondulando (como folha ao vento), parava, girava em torno de si mesmo e deslocava-se rápido como se recebesse impulsos. Após várias evoluções, aumentou ainda mais sua velocidade, desaparecendo no rumo do nascente.",Cópia de 02 (dois) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
44,Campinas da Vigia - Município da Vigia/Pa,PA,Vigia,"0º 51' 25.92""","-48º 8' 17.88""",25 nov. 77,19:30,Luminosidade reflexa,Amarela,Fuso (conóide),Indefinida,"3,00 x 0,60 m","Irregular, oscilando lateralmente",Irregular/Variável,Noroeste/Sudeste,Baixa,100 m (estimada),100 m,Padre ALFREDO DE LA O,Masculino,"Ausência de ruído. Possuía luzes de cores verde, vermelha e amarela, que acendiam intermitentemente no sentido horário. Aumentou subitamente a velocidade e desapareceu no alto.",Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
45,Município de Colares/Pa,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",26 nov. 77,00:55,Amarela avermelhada muito intensa,Amarela,Indefinida,Indefinida,Indeterminado,"Irregular, no sentido Noroeste/Sudeste",Irregular/Variável,Sudoeste/Leste,Variável,50 m (estimada),500 m,Equipe do A2/I COMAR,Não especificado,"Baixa velocidade até atingir a margem direita (Ilha de Colares), onde passou a movimentar-se com maior velocidade e de maneira irregular. Desapareceu por interposição de árvores, na Ponta do Bacuri.",Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
46,Município de Colares/Pa,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",26 nov. 77,05:15,"Amarela, emitindo lampejos azulados",Amarela,Indefinida,Indefinida,Não especificado,"Trajetória reta, no sentido Sudoeste/Leste",Trajetória Reta,Norte/Sul,Grande (acima de 800 Km/h),2.000 m (estimada),10.000 m,Equipe do A2/I COMAR,Não especificado,Não se ouviu ruído.,Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
47,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",26 nov. 77,18:54,"Amarela, luminosidade muito intensa",Corpo Luminoso,Indefinida,Indefinida,Não especificado,"Trajetória reta, no sentido Norte/Sul",Trajetória Reta,Estacionário,Não especificado,200 m (estimada),2.000 m,Cap I Aer HOLIANDA e os Civis UBIRATAN PINON FRIAS e MILTON MENDONÇA,Masculino,"A luminosidade do OVNI aumentava à medida que este penetrava no campo de luz, provocado pelo nascer da lua. Desapareceu encoberto pela copa das árvores.",Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
48,Ponta do Machadinho - Ilha de Colares/Pa,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",27 nov. 77,02:00,Amarela avermelhada,Corpo Luminoso,Indefinida,,Não especificado,Elemento A: Trajetória reta; Elemento B: Estacionário,Estacionário,Não especificado,Baixa,Baixa,3.000 m,Sr HOSIO DE OLIVEIRA,Masculino,"O relator observou dois corpos luminosos. O de maior volume estava estacionário, o menor aproximou-se do maior e depois deslocou-se a baixa altura no rumo de Belém.",Não especificado,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
49,Ponta de Machadinho - Ilha de Colares/Pa,Pará,Colares,00°55′S,48°16′W,27 nov. 77,às 02:00 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,"2,5 cm (moeda de 50 centavos)",Evolução circular em torno da Ponta do Machadinho,Circular,...,Variável,...,6.000m (estimada),Sr. Rósio de Oliveira,...,"Elemento A: Moveu-se para NW dirigindo foco azulado para a água. Elemento B: Moveu-se para leste. Elemento C: Moveu-se para nordeste (COARES), sem emitir foco",...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
50,Canal do Navio - Baía do Marajó/Pa,Pará,Soure/Belém,00°42′S,48°31′W,27 nov. 77,às 02:30 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,"2,5 cm",Trajetória reta. Sudeste/Noroeste,Reta,Sudeste/Noroeste,Média,...,400m (estimada),Sr. Rósio de Oliveira,...,O OVNI focava em diversas direções um feixe de luz azulada. Não fazia ruído,..,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
51,Canal do Cuiririm - Baia do Marajó/Pa,PA,Baía do Marajó,"-1º 0' 0.00""","-49º 30' 0.00""",27 nov. 77,02:40,Corpo luminoso,Corpo Luminoso,,,Indefinida,Não especificado,Não Especificado/Indefinido,Indefinidos,"Trajetória reta, no sentido Sudeste/Noroeste",Baixa,400 m (estimada),5.000 m,Sr ELIAS DE OLIVEIRA,Masculino,"O OVNI foi observado deslocando-se desde a Ponta do Machadinho, cruzando sobre a Ponta do Bacuri, em seguida para o mar (Noroeste).","MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
52,Município de Colares/Pa,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",27 nov. 77,19:10,Corpos luminosos (2),Corpo Luminoso,,,Indefinida,Indefinidos,Não Especificado/Indefinido,Não especificado,Elemento A: Trajetória reta; Elemento B: Variável (curva fechada 360°),Média (acima de 600 Km/h),6.000 m (estimada),6.000 m,Equipe do A2/I COMAR,Não especificado,"Os elementos estavam em rota paralela, ao atingirem o centro da abóbada, um deles efetuou uma curva fechada de 360° e retomou o rumo original. Duração de dois minutos.","MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
53,Canal do Navio - Baía do Marajó/Pa,Pará,Soure/Belém,00°42′S,48°31′W,28 nov. 77,às 01:00 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,"0,60m x 0,90m",Estacionários,Estacionários,...,...,Baixa,4.000m (estimada),Sr. Rósio de Oliveira,...,O maior tinha a forma oval,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
54,Município de Colares/Pa,Pará,Colares,00°55′S,48°16′W,28 nov. 77,às 19:05 horas,Amarela clara,Amarela,Indefinida,Indefinida,2 cm,"Trajetória curva, sentido Noroeste/Sudeste",Curva,Noroeste/Sudeste,Supersônica,4.000m (estimada),4.000m (estimada),Equipe do A2/I COMAR,...,"Os dois OVNIs efetuaram uma curva, voltando para o rumo Norte",...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
55,Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",28 nov. 77,19:30,Corpos luminosos (vários),Corpo Luminoso,,,Indefinida,20 cm (o maior),Não Especificado/Indefinido,Não especificado,"Variado. O maior, inicialmente estacionário, deslocou-se para NE","O maior, com grande velocidade",700 m (estimada),15.000 m,Sr MIGUEL DA SILVA MOREIRA,Masculino,"O OVNI maior emitia focos de luz azulada. Dois pequenos corpos luminosos aproximaram-se e foram absorvidos pelo maior, que então deslocou-se rapidamente para o Nordeste.","MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
56,Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",28 nov. 77,19:15,Corpo luminoso,Corpo Luminoso,,,Indefinida,Não especificado,Não Especificado/Indefinido,Não especificado,"Trajetória reta, no sentido Sudeste/Nordeste",Média (500 Km/h),700 m (estimada),Não especificado,Sr MIGUEL DA SILVA MOREIRA,Masculino,Um pequeno avião passava no través de Mosqueiro. O OVNI cruzou em nível mais baixo.,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
57,Município de Colares/Pa,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",28 nov. 77,19:30,Corpo luminoso,Corpo Luminoso,,,Indefinida,Não especificado,Não Especificado/Indefinido,Não especificado,"Trajetória reta, no sentido Sudeste/Noroeste",Média,2.000 m (estimada),2.000 m,Equipe do A2/I COMAR,Não especificado,Desapareceram no centro da abóbada celeste.,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
58,Baia do Sol - Mosqueiro/Pa,PA,Mosqueiro,"-1º 9' 52.56""","-48º 27' 12.96""",28 nov. 77,19:30,Corpo luminoso,Corpo Luminoso,,,Indefinida,Não especificado,Não Especificado/Indefinido,Não especificado,"Inicialmente estacionário, deslocou-se para Leste",Supersônica,"300 m (estimada), vertical",300 m,Cap I Aer HOLIANDA,Masculino,"O OVNI emitiu uma série de quatro focos de luz azul. Em seguida, deslocou-se para Leste.","MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
59,Município de Colares/Pa,Pará,Colares,00°55′S,48°16′W,2 dez. 77,às 19:22 horas,Amarela avermelhada,Amarela,Indefinida,Indefinida,2 cm,"Trajetória reta, no sentido Sudoeste/Nordeste",Reta,Sudoeste/Nordeste,Grande (acima de 800 Km/h),3.000m (estimada),15.000m (estimada),Equipe do A2/I COMAR,...,Visível até a linha do horizonte. Duração da passagem: 2 minutos.,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
60,Município de Colares/Pa,Pará,Colares,00°55′S,48°16′W,4 dez. 77,às 19:05 horas,Branca azulada,Branca,Indefinida,Indefinida,...,Sentido Sudoeste/Nordeste. Mudança brusca de direção,Curva,Sudoeste/Nordeste,Grande (acima de 800 Km/h),"12.000m (estimada), na vertical","12.000m (estimada), na vertical",Equipe do A2/I COMAR,...,Ao atingir o Centro da abóbada bruscamente parou e fez uma curva fechada à esquerda,...,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
